api_id,module,kind,qualified_name,signature,file_path,start_line
cn.hutool.ai::AIException#,hutool-ai,class,cn.hutool.ai::AIException,"",hutool-ai/src/main/java/cn/hutool/ai/AIException.java,24
"cn.hutool.ai::AIException::AIException#(final Throwable e)",hutool-ai,method,cn.hutool.ai::AIException::AIException,"(final Throwable e)",hutool-ai/src/main/java/cn/hutool/ai/AIException.java,32
"cn.hutool.ai::AIException::AIException#(final String message)",hutool-ai,method,cn.hutool.ai::AIException::AIException,"(final String message)",hutool-ai/src/main/java/cn/hutool/ai/AIException.java,41
"cn.hutool.ai::AIException::AIException#(String messageTemplate, Object... params)",hutool-ai,method,cn.hutool.ai::AIException::AIException,"(String messageTemplate, Object... params)",hutool-ai/src/main/java/cn/hutool/ai/AIException.java,51
"cn.hutool.ai::AIException::AIException#(final String message, final Throwable cause)",hutool-ai,method,cn.hutool.ai::AIException::AIException,"(final String message, final Throwable cause)",hutool-ai/src/main/java/cn/hutool/ai/AIException.java,61
"cn.hutool.ai::AIException::AIException#(final String message, final Throwable cause, final boolean enableSuppression, final boolean writableStackTrace)",hutool-ai,method,cn.hutool.ai::AIException::AIException,"(final String message, final Throwable cause, final boolean enableSuppression, final boolean writableStackTrace)",hutool-ai/src/main/java/cn/hutool/ai/AIException.java,73
"cn.hutool.ai::AIException::AIException#(Throwable throwable, String messageTemplate, Object... params)",hutool-ai,method,cn.hutool.ai::AIException::AIException,"(Throwable throwable, String messageTemplate, Object... params)",hutool-ai/src/main/java/cn/hutool/ai/AIException.java,84
cn.hutool.ai::AIServiceFactory#,hutool-ai,class,cn.hutool.ai::AIServiceFactory,"",hutool-ai/src/main/java/cn/hutool/ai/AIServiceFactory.java,33
"cn.hutool.ai::AIServiceFactory::getAIService#AIService (final AIConfig config)",hutool-ai,method,cn.hutool.ai::AIServiceFactory::getAIService,"AIService (final AIConfig config)",hutool-ai/src/main/java/cn/hutool/ai/AIServiceFactory.java,55
"cn.hutool.ai::AIServiceFactory::getAIService#T (final AIConfig config, final Class<T> clazz)",hutool-ai,method,cn.hutool.ai::AIServiceFactory::getAIService,"T (final AIConfig config, final Class<T> clazz)",hutool-ai/src/main/java/cn/hutool/ai/AIServiceFactory.java,68
cn.hutool.ai::AIUtil#,hutool-ai,class,cn.hutool.ai::AIUtil,"",hutool-ai/src/main/java/cn/hutool/ai/AIUtil.java,37
"cn.hutool.ai::AIUtil::getAIService#T (final AIConfig config, final Class<T> clazz)",hutool-ai,method,cn.hutool.ai::AIUtil::getAIService,"T (final AIConfig config, final Class<T> clazz)",hutool-ai/src/main/java/cn/hutool/ai/AIUtil.java,48
"cn.hutool.ai::AIUtil::getAIService#AIService (final AIConfig config)",hutool-ai,method,cn.hutool.ai::AIUtil::getAIService,"AIService (final AIConfig config)",hutool-ai/src/main/java/cn/hutool/ai/AIUtil.java,59
"cn.hutool.ai::AIUtil::getHutoolService#HutoolService (final AIConfig config)",hutool-ai,method,cn.hutool.ai::AIUtil::getHutoolService,"HutoolService (final AIConfig config)",hutool-ai/src/main/java/cn/hutool/ai/AIUtil.java,70
"cn.hutool.ai::AIUtil::getDeepSeekService#DeepSeekService (final AIConfig config)",hutool-ai,method,cn.hutool.ai::AIUtil::getDeepSeekService,"DeepSeekService (final AIConfig config)",hutool-ai/src/main/java/cn/hutool/ai/AIUtil.java,81
"cn.hutool.ai::AIUtil::getDoubaoService#DoubaoService (final AIConfig config)",hutool-ai,method,cn.hutool.ai::AIUtil::getDoubaoService,"DoubaoService (final AIConfig config)",hutool-ai/src/main/java/cn/hutool/ai/AIUtil.java,92
"cn.hutool.ai::AIUtil::getGrokService#GrokService (final AIConfig config)",hutool-ai,method,cn.hutool.ai::AIUtil::getGrokService,"GrokService (final AIConfig config)",hutool-ai/src/main/java/cn/hutool/ai/AIUtil.java,103
"cn.hutool.ai::AIUtil::getOpenAIService#OpenaiService (final AIConfig config)",hutool-ai,method,cn.hutool.ai::AIUtil::getOpenAIService,"OpenaiService (final AIConfig config)",hutool-ai/src/main/java/cn/hutool/ai/AIUtil.java,114
"cn.hutool.ai::AIUtil::getGeminiService#GeminiService (final AIConfig config)",hutool-ai,method,cn.hutool.ai::AIUtil::getGeminiService,"GeminiService (final AIConfig config)",hutool-ai/src/main/java/cn/hutool/ai/AIUtil.java,125
"cn.hutool.ai::AIUtil::chat#String (final AIConfig config, final String prompt)",hutool-ai,method,cn.hutool.ai::AIUtil::chat,"String (final AIConfig config, final String prompt)",hutool-ai/src/main/java/cn/hutool/ai/AIUtil.java,137
