api_id,module,package,tag,reason
cn.hutool.ai::AIException#,hutool-ai,ai.AIException.java,portable,candidate for idiomatic Rust
cn.hutool.ai::AIException::AIException#(final Throwable e),hutool-ai,ai.AIException.java,portable,candidate for idiomatic Rust
cn.hutool.ai::AIException::AIException#(final String message),hutool-ai,ai.AIException.java,portable,candidate for idiomatic Rust
"cn.hutool.ai::AIException::AIException#(String messageTemplate, Object... params)",hutool-ai,ai.AIException.java,portable,candidate for idiomatic Rust
"cn.hutool.ai::AIException::AIException#(final String message, final Throwable cause)",hutool-ai,ai.AIException.java,portable,candidate for idiomatic Rust
"cn.hutool.ai::AIException::AIException#(final String message, final Throwable cause, final boolean enableSuppression, final boolean writableStackTrace)",hutool-ai,ai.AIException.java,portable,candidate for idiomatic Rust
"cn.hutool.ai::AIException::AIException#(Throwable throwable, String messageTemplate, Object... params)",hutool-ai,ai.AIException.java,portable,candidate for idiomatic Rust
cn.hutool.ai::AIServiceFactory#,hutool-ai,ai.AIServiceFactory.java,portable,candidate for idiomatic Rust
cn.hutool.ai::AIServiceFactory::getAIService#AIService (final AIConfig config),hutool-ai,ai.AIServiceFactory.java,portable,candidate for idiomatic Rust
"cn.hutool.ai::AIServiceFactory::getAIService#T (final AIConfig config, final Class<T> clazz)",hutool-ai,ai.AIServiceFactory.java,portable,candidate for idiomatic Rust
cn.hutool.ai::AIUtil#,hutool-ai,ai.AIUtil.java,portable,candidate for idiomatic Rust
"cn.hutool.ai::AIUtil::getAIService#T (final AIConfig config, final Class<T> clazz)",hutool-ai,ai.AIUtil.java,portable,candidate for idiomatic Rust
cn.hutool.ai::AIUtil::getAIService#AIService (final AIConfig config),hutool-ai,ai.AIUtil.java,portable,candidate for idiomatic Rust
cn.hutool.ai::AIUtil::getHutoolService#HutoolService (final AIConfig config),hutool-ai,ai.AIUtil.java,portable,candidate for idiomatic Rust
cn.hutool.ai::AIUtil::getDeepSeekService#DeepSeekService (final AIConfig config),hutool-ai,ai.AIUtil.java,portable,candidate for idiomatic Rust
cn.hutool.ai::AIUtil::getDoubaoService#DoubaoService (final AIConfig config),hutool-ai,ai.AIUtil.java,portable,candidate for idiomatic Rust
cn.hutool.ai::AIUtil::getGrokService#GrokService (final AIConfig config),hutool-ai,ai.AIUtil.java,portable,candidate for idiomatic Rust
cn.hutool.ai::AIUtil::getOpenAIService#OpenaiService (final AIConfig config),hutool-ai,ai.AIUtil.java,portable,candidate for idiomatic Rust
cn.hutool.ai::AIUtil::getGeminiService#GeminiService (final AIConfig config),hutool-ai,ai.AIUtil.java,portable,candidate for idiomatic Rust
"cn.hutool.ai::AIUtil::chat#String (final AIConfig config, final String prompt)",hutool-ai,ai.AIUtil.java,portable,candidate for idiomatic Rust
"cn.hutool.ai::AIUtil::chat#String (final AIConfig config, final List<Message> messages)",hutool-ai,ai.AIUtil.java,portable,candidate for idiomatic Rust
cn.hutool.ai::ModelName#,hutool-ai,ai.ModelName.java,portable,candidate for idiomatic Rust
cn.hutool.ai::ModelName::getValue#String (),hutool-ai,ai.ModelName.java,portable,candidate for idiomatic Rust
cn.hutool.ai::Models#,hutool-ai,ai.Models.java,portable,candidate for idiomatic Rust
cn.hutool.ai::Models::Hutool#,hutool-ai,ai.Models.java,portable,candidate for idiomatic Rust
cn.hutool.ai::Models::Hutool::getModel#String (),hutool-ai,ai.Models.java,portable,candidate for idiomatic Rust
cn.hutool.ai::Models::DeepSeek#,hutool-ai,ai.Models.java,portable,candidate for idiomatic Rust
cn.hutool.ai::Models::DeepSeek::getModel#String (),hutool-ai,ai.Models.java,portable,candidate for idiomatic Rust
cn.hutool.ai::Models::Openai#,hutool-ai,ai.Models.java,portable,candidate for idiomatic Rust
cn.hutool.ai::Models::Openai::getModel#String (),hutool-ai,ai.Models.java,portable,candidate for idiomatic Rust
cn.hutool.ai::Models::Doubao#,hutool-ai,ai.Models.java,portable,candidate for idiomatic Rust
cn.hutool.ai::Models::Doubao::getModel#String (),hutool-ai,ai.Models.java,portable,candidate for idiomatic Rust
cn.hutool.ai::Models::Grok#,hutool-ai,ai.Models.java,portable,candidate for idiomatic Rust
cn.hutool.ai::Models::Grok::getModel#String (),hutool-ai,ai.Models.java,portable,candidate for idiomatic Rust
cn.hutool.ai::Models::Ollama#,hutool-ai,ai.Models.java,portable,candidate for idiomatic Rust
cn.hutool.ai::Models::Ollama::getModel#String (),hutool-ai,ai.Models.java,portable,candidate for idiomatic Rust
cn.hutool.ai::Models::Gemini#,hutool-ai,ai.Models.java,portable,candidate for idiomatic Rust
cn.hutool.ai::Models::Gemini::getModel#String (),hutool-ai,ai.Models.java,portable,candidate for idiomatic Rust
cn.hutool.ai.core::AIConfig#,hutool-ai,ai.core,portable,candidate for idiomatic Rust
cn.hutool.ai.core::AIConfigBuilder#,hutool-ai,ai.core,portable,candidate for idiomatic Rust
cn.hutool.ai.core::AIConfigBuilder::AIConfigBuilder#(final String modelName),hutool-ai,ai.core,portable,candidate for idiomatic Rust
cn.hutool.ai.core::AIConfigBuilder::setApiKey#AIConfigBuilder (final String apiKey),hutool-ai,ai.core,portable,candidate for idiomatic Rust
cn.hutool.ai.core::AIConfigBuilder::setApiUrl#AIConfigBuilder (final String apiUrl),hutool-ai,ai.core,portable,candidate for idiomatic Rust
cn.hutool.ai.core::AIConfigBuilder::setModel#AIConfigBuilder (final String model),hutool-ai,ai.core,portable,candidate for idiomatic Rust
"cn.hutool.ai.core::AIConfigBuilder::putAdditionalConfig#AIConfigBuilder (final String key, final Object value)",hutool-ai,ai.core,portable,candidate for idiomatic Rust
cn.hutool.ai.core::AIConfigBuilder::setTimout#AIConfigBuilder (final int timeout),hutool-ai,ai.core,portable,candidate for idiomatic Rust
cn.hutool.ai.core::AIConfigBuilder::setTimeout#AIConfigBuilder (final int timeout),hutool-ai,ai.core,portable,candidate for idiomatic Rust
cn.hutool.ai.core::AIConfigBuilder::setReadTimout#AIConfigBuilder (final int readTimout),hutool-ai,ai.core,portable,candidate for idiomatic Rust
cn.hutool.ai.core::AIConfigBuilder::setReadTimeout#AIConfigBuilder (final int readTimeout),hutool-ai,ai.core,portable,candidate for idiomatic Rust
cn.hutool.ai.core::AIConfigBuilder::setProxy#AIConfigBuilder (final Proxy proxy),hutool-ai,ai.core,portable,candidate for idiomatic Rust
cn.hutool.ai.core::AIConfigBuilder::build#AIConfig (),hutool-ai,ai.core,portable,candidate for idiomatic Rust
cn.hutool.ai.core::AIConfigRegistry#,hutool-ai,ai.core,portable,candidate for idiomatic Rust
cn.hutool.ai.core::AIConfigRegistry::getConfigClass#Class<? extends AIConfig> (final String modelName),hutool-ai,ai.core,portable,candidate for idiomatic Rust
cn.hutool.ai.core::AIService#,hutool-ai,ai.core,portable,candidate for idiomatic Rust
cn.hutool.ai.core::AIServiceProvider#,hutool-ai,ai.core,portable,candidate for idiomatic Rust
